CompanyId,CompanyName,ABN,AddressType,Address,Locale,Jurisdiction,Postcode,CompanyPhone,CompanyFax,LastUpdate
227,Chinova Resources Osborne Pty Ltd,84061300025,Head Office,,Milton,QLD  ,4064,07 32467709         ,07 32467799         ,26/09/2018 19:30
215,Click Energy Pty Ltd,41116567492,Head Office,,Collingwood,VI   ,3066,03 9473 1924        ,,26/09/2018 19:30
239,CNOOC QCLNG Tolling Pty Ltd,51 142 591 142,Head Office,,Brisbane,QLD  ,4001,07 3239 9818        ,07 3239 9877        ,26/09/2018 19:30
208,Covau Pty Limited,54090117730,Head Office,,Sydney,NSW  ,2000,1300731574,1300731624,26/09/2018 19:30
203,Creative Analytics Pty Ltd,54 137 966 520,Head Office,,Camberwall,VI   ,3124,03 9811 4724        ,,26/09/2018 19:30
259,CSR Building Products Limited,55008631356,Head Office,,North Ryde,NSW  ,2113,299641027,9999999999,26/09/2018 19:30
98,Delta Electricity,75 162 696 335,Head Office,,Sydney,NSW  ,2000,02 9285 2778        ,02 9285 2770        ,26/09/2018 19:30
127,Department of Energy and Water Supply,91 416 908 913,Head Office,,Brisbane,QLD  ,4002,07 3239 0032        ,07 3237 1344        ,26/09/2018 19:30
126,"Dept Infrastructure, Energy & Resources",36 388 980 563,Head Office,,Hobart,TAS  ,7001,03 6233 9091        ,03 6233 3937        ,26/09/2018 19:30
128,Dept Planning Transport & Infrastructure,92 366 288 135,Head Office,,Adelaide,SA   ,5000,08 8226 5500        ,08 8226 5523        ,26/09/2018 19:30
109,"Dept Resources, Energy & Tourism",46 252 861 927,Head Office,Industry House 10 Binara St GPO Box 1564,Canberra,ACT  ,2601,02 6276 1000        ,,26/09/2018 19:30
276,EIM,75 100 946 389,Head Office,,Brisbane,QLD  ,4000,07 3020 2600        ,07 3020 2601        ,26/09/2018 19:30
5,EnergyAustralia Pty Ltd,99 086 014 968,Head Office,,MELBOURNE,VI   ,3000,03 8628 1000        ,03 8626 1050        ,26/09/2018 19:30
74,EnergyAustralia Pty Ltd No. 2,99 086 014 968,Head Office,,Sydney,NSW  ,2001,02 9269 4200        ,02 9269 2830        ,26/09/2018 19:30
104,Epic Energy South Australia Pty Ltd,54 068 599 815,Head Office,,Dry Creek,,5094,08 8343 8100        ,08 8349 6493        ,26/09/2018 19:30
206,ERM Business Energy,87126175460,Head Office,,Brisbane,QLD  ,4001,07 3220 5100        ,07 3220 6110        ,26/09/2018 19:30
36,Esso Australia Resources Pty Ltd,62 091 829 819,Head Office,"12 Riverside Quay Southbank GPO Box 400, Melbourne VIC 3001",Melbourne,VI   ,3006,,,26/09/2018 19:30
108,Flinders Operating Services Pty Ltd,36 094 130 837,Head Office,,Brisbane,QLD  ,4001,,,26/09/2018 19:30
222,GLNG Operations Pty Ltd,66132321192,Head Office,,Brisbane,QLD  ,4000,07 3838 3000        ,07 3838 3350        ,26/09/2018 19:30
197,Global-Roam Pty Ltd,31 091 533 587,Head Office,,Milton,QLD  ,4064,07 3368 4064        ,07 3368 4068        ,26/09/2018 19:30
265,GloBird Energy Pty Ltd,68600285827,Head Office,,Mitcham,VI   ,3132,1300456247,03 8560 4197        ,26/09/2018 19:30
148,Hydro Tasmania,48 072 377 158,Head Office,,HOBART,TAS  ,7000,,,26/09/2018 19:30
121,Incitec Pivot Limited,42 004 080 264,Head Office,,Southbank,VI   ,3006,,,26/09/2018 19:30
